,fullTitle,subjects,holdings
16788,The encyclopedia of ghosts / by Daniel Cohen.,Ghosts -- Dictionaries,BF1444 .C64 1984
16789,Aboriginal populations in the mind : race and primitivity in psychoanalysis / Celia Brickman.,"Freud, Sigmund, 1856-1939, Psychoanalysis",BF 173 .B79 2003
16790,"Colour : seeing, experiencing, understanding / Ueli Seiler-Hugova.","Color -- Psychological aspects, Anthroposophy",BF 789 .C7 S4513x 2011
16791,The encyclopedia of prophecy / by Omar V. Garrison.,"Prophecies (Occultism) -- Dictionaries, Mormons -- Prophecies",BF 1786 .G37 1978
16792,"The science of subjective well-being / edited by Michael Eid, Randy J. Larsen.","Happiness, Well-being",BF 575 .H27 S39 2008
16793,Mastery over separation and loss--ingredients for growth.,"Separation anxiety in children, Maturation (Psychology), Emotional maturity",BF 710 .F36x
16794,"The face in the mirror : the search for the origins of consciousness / Julian Paul Keenan with Gordon G. Gallup, Jr. and Dean Falk.","Consciousness, Self-perception, Philosophy of mind, Brain -- Psychophysiology",BF 311 .K365 2003
16795,Aspects of rationality : reflections on what it means to be rational and whether we are / Raymond S. Nickerson.,"Rationalism -- Psychological aspects, Psychology -- Philosophy",BF 441 .N49 2008
16796,"The psychology of problem solving / edited by Janet E. Davidson, Robert J. Sternberg.",Problem solving,BF 449 .P78 2003
16797,Religious delusions : a psychic study / by J. V.Coombs.,"Sects -- Controversial literature, Occultism, Mormons, Church of Jesus Christ of Latter-day Saints -- Controversial literature",BF 1411 .C7 1904a
16798,Cognitive integration : mind and cognition unbounded / Richard Menary.,"Cognition -- Philosophy, Philosophy of mind",BF 311 .M4452x 2007
16799,"Voluntary action : brains, minds, and sociality / edited by Sabine Maasen, Wolfgang Prinz, and Gerhard Roth.","Intentionalism -- Congresses, Free will and determinism -- Congresses",BF 619.5 .V66 2003
16800,Mea culpa : a sociology of apology and reconciliation / Nicholas Tavuchis.,"Apologizing, Reconciliation",BF 575 .A75 T38 1991
16801,"The counselor intern's handbook / Christopher Faiver, Sheri Eisengart, Ronald Colonna.","Counseling -- Study and teaching (Internship) -- Handbooks, manuals, etc",BF 637 .C6 F32 2000
16802,"Handbook of race, racism, and the developing child / edited by Stephen M. Quintana, Clark McKown.","Race awareness in children, Prejudices in children, Child psychology",BF 723 .R3 H36 2008
16803,The Youth outcome questionnaire-30.1 (YOQ-30.1) : a study of reliability and discriminant groups validity/ by Todd Wilson Dunn.,Youth Outcome Questionnaire--30.1 (YOQ--30.1),None
16804,Human instinct / Robert Winston.,Instinct,BF 685 .W56x 2002
16805,"No go the bogeyman : scaring, lulling, and making mock / Marina Warner.","Fear, Horror, Ghouls and ogres, Folklore -- Psychological aspects",BF 575 .F2 W37x 1998
16806,Self perception : the psychology of personal awareness / Chris L. Kleinke.,"Self-perception, Mind and body, Personality change",BF 697 .K58
16807,Disasters and mental health : selected contemporary perspectives / Center for Mental Health Studies of Emergencies ; edited by Barbara J. Sowder for the National Institute of Mental Health.,"Disasters -- Psychological aspects, Disaster relief -- Psychological aspects",BF 789 .D5 C46 1985
16808,"Masculinity & femininity : their psychological dimensions, correlates, and antecedents / by Janet T. Spence & Robert L. Helmreich.","Femininity, Masculinity",BF 692.2 .S68
16809,Psychology and religion : classical theorists and contemporary developments / Andrew R. Fuller.,"Psychology and religion, Psychoanalysis and religion, Psychology, Religious -- History",BF 51 .F84 2008
16810,"Newsletter of the Parapsychology Foundation, Inc.","Parapsychology -- Periodicals, Parapsychology -- Research -- Periodicals",None
16811,A theory of immediate awareness : self-organization and adaptation in natural intelligence / by Myrna Estep.,"Awareness, Intellect",BF 311 .E79 2003
16812,"Cognitive development : research based on a neo-Piagetian approach / edited by J. A. Keats, K. F. Collis, G. S. Halford.",Cognition in children,BF 723 .C5 C634
16813,Apoyo psicosocial en catátrofes colectivas : de la prevención a la reconstrucción / Carlos Martín Beristain.,"Disasters -- Psychological aspects, Disaster victims -- Psychology, Crises intervention (Mental health services)",BF 789 .D5 B47x 2000
16814,Selving : a relational theory of self organization / Irene Fast.,"Psychoanalysis, Self, Freud, Sigmund, 1856-1939",BF 175 .F24 1998
16815,Hexenglaube und magische Kommunikation im Dorf der frühen Neuzeit : die Verfolgungen in der Grafschaft Lippe / Rainer Walz.,"Witchcraft -- Germany -- Lippe (Kreis), Lippe (Germany : Kreis)",BF 1583 .W35 1993
16816,"Counseling the culturally different : theory and practice / Derald Wing Sue, David Sue.",Cross-cultural counseling,BF 637 .C6 S85
16817,Early social cognition : understanding others in the first months of life / edited by Philippe Rochat.,Social interaction in infants,BF 720 .S63 E37 1999
16818,The effects of an acute bout of aerobic and anaerobic exercise on state anxiety / by Audra Merryman.,"Anxiety -- Exercise therapy, Stress (Psychology) -- Exercise therapy, Exercise -- Psychological aspects",None
16819,The Pavlovian journal of biological science.,"Psychology -- Periodicals, Conditioned response -- Periodicals, Animal behavior -- Periodicals",None
16820,The implications of embodiment : cognition and communication / edited by Wolfgang Tschacher and Claudia Bergomi.,"Mind and body, Cognition",BF 171 .I47x 2011
16821,What women want - what men want : why the sexes still see love and commitment so differently/ John Marshall Townsend.,"Sex differences (Psychology), Man-woman relationships, Men -- Psychology, Men -- Sexual behavior, Women -- Psychology, Women -- Sexual behavior",BF 692.9 .T69 1998
16822,Expressing the shape and colour of personality : using Lowenfeld mosaics in psychotherapy and cross-cultural research / Thérèse Mei-Yau Woodcock.,Lowenfeld Mosaics,BF 698.8 .L6 W66 2006
16823,"Personal relations theory : Fairbairn, Macmurray and Suttie / Graham S. Clarke.","Object relations (Psychoanalysis), Psychoanalysis, Fairbairn, W. Ronald D. (William Ronald Dodds), Macmurray, John, 1891-1976, Suttie, Ian D. (Ian Dishart), 1889-1935",BF 175.5 .O24 C57 2006
16824,"Play=learning : how play motivates and enhances children's cognitive and social-emotional growth / edited by Dorothy G. Singer, Roberta Michnick Golinkoff, Kathy Hirsh-Pasek.","Play -- Psychological aspects, Play -- Social aspects",BF 717 .P578 2006
16825,"Examination of perceptions of leisure boredom, personal characteristics, and family functions as predictors of aggressive behavioral tendencies of university students / Heewon Yang.","College students -- Psychology, Aggressiveness",None
16826,"The living labyrinth : exploring universal themes in myths, dreams, and the symbolism of waking life / Jeremy Taylor.","Dreams, Dream interpretation, Mythology -- Psychological aspects, Symbolism (Psychology), Psychoanalysis",BF 175.5 .D74 T38 1998
16827,Against instinct : from biology to philosophical psychology / Dennis M. Senchuk.,"Instinct, Behavior genetics, Instinct (Philosophy), Free will and determinism",BF 685 .S46 1991
16828,Pattern fish / Trudy Harris ; illustrations by Anne Canevari Green.,"Pattern perception -- Juvenile literature, Fishes -- Juvenile literature",152.14 H243pf
16829,Cinderella and her sisters : the envied and the envying / by Ann and Barry Ulanov.,Envy,BF 575 .E65 U4 1998
16830,Dictionary of images and symbols in counselling / William Stewart.,"Counseling -- Dictionaries, Counseling -- Great Britain, Symbolism -- Dictionaries, Imagery (Psychology)",BF 637 .C6 S74x 1998
16831,"Situated learning : legitimate peripheral participation / Jean Lave, Etienne Wenger.","Learning, Psychology of, Transfer of training",BF 318 .L36 1991
16832,"Amorous acts : Lacanian ethics in modernism, film, and queer theory / Frances L. Restuccia.","Lacan, Jacques, 1901-1981, Love, Love in literature, Love in motion pictures, Queer theory",BF 175.5 .L68 R47 2006
16833,Science and religion : exploring cognitive differences through reasoning and recall / Lauren O. Gonce.,"Cognitive psychology, Reasoning, Recollection (Psychology)",BF 201 .G66 2008
16834,Who is rational? : studies of individual differences in reasoning / Keith E. Stanovich.,"Reasoning (Psychology), Individual differences",BF 442 .S73 1999
16835,The inner life of a rational agent : in defence of philosophical behaviourism / Rowland Stout.,Behaviorism (Psychology),BF 199 .S78x 2006
16836,Remembering the times of our lives : memory in infancy and beyond / Patricia J. Bauer.,"Autobiographical memory, Memory in infants, Memory in children",BF 378 .A87 B38 2007
16837,"Vigilant memory : Emmanuel Levinas, the Holocaust, and the unjust death / R. Clifton Spargo.","Lévinas, Emmanuel, Holocaust, Jewish (1939-1945), Grief, Bereavement, Ethics, Conduct of life",BF 575 .G7 S63 2006
16838,"Ask your angels / Alma Daniel, Timothy Wyllie, Andrew Ramer ; illustrated by Yanni Posnakoff.","Angels -- Miscellanea, New Age movement",BF 1623 .A53 D36 1992
16839,Soul mates : honoring the mysteries of love and relationship / Thomas Moore.,"Intimacy (Psychology), Love, Soul mates, Conduct of life",BF 575 .I5 M66 1994
16840,The specter of Salem : remembering the witch trials in nineteenth-century America / Gretchen A. Adams.,"Witchcraft -- Massachusetts -- Salem -- History -- 19th century, Trials (Witchcraft) -- Massachusetts -- Salem -- History -- 19th century, Salem (Mass.) -- Social conditions",BF 1576 .A33 2008
16841,New studies of old villains : a radical reconsideration of the Oedipus complex / Paul Verhaeghe ; with a foreword by Juliet Mitchell.,Oedipus complex,BF 175.5 .O33 V47 2009
16842,The re-enchantment of the world : secular magic in a rational age / edited by Joshua Landy and Michael Saler.,"Magic -- Social aspects, Marvelous, The -- Social aspects, Rationalism, Secularism, Thought and thinking, Civilization, Modern",BF 1621 .R42 2009
16843,Difference and diversity in counselling : contemporary psychodynamic perspectives / edited by Sue Wheeler.,"Cross-cultural counseling, Psychotherapy",BF 637 .C6 D537 2006
16844,The writer and psychoanalysis / Edmund Bergler.,"Psychoanalysis, Authors -- Psychology",BF 173 .B475x 1982
16845,The ploy of instinct : Victorian sciences of nature and sexuality in liberal governance / Kathleen Frederickson.,"Instinct -- History -- 19th century, Sex -- Great Britain -- History -- 19th century, Science -- Great Britain -- History -- 19th century, English literature -- 19th century, Great Britain -- Civilization -- 19th century",BF 685 .F74 2014
16846,Physical being : a theory for a corporeal psychology / Rom Harré.,"Mind and body, Human body (Philosophy)",BF 161 .H28 1991
16847,Origins : on the genesis of psychic reality / Jon Mills.,"Subconsciousness, Psychoanalysis -- Philosophy, Mind and reality",BF 315 .M55x 2010
16848,"Functions : new essays in the philosophy of psychology and biology / edited by André Ariew, Robert Cummins, and Mark Perlman.","Psychology -- Philosophy, Biology -- Philosophy",BF 38 .F86 2002
16849,"Video interaction guidance : a relationship-based intervention to promote attunement, empathy, and wellbeing / edited by Hilary Kennedy, Miriam Landor and Liz Todd.","Counseling, Video recording, Interpersonal relations",BF 636.6 .V53 2011
16850,International handbook of personal construct psychology / edited by Fay Fransella.,Personal construct theory,BF 698.9 .P47 I57 2003
16851,Biology and cognitive development : the case of face recognition / Mark H. Johnson and John Morton.,"Face perception -- Physiological aspects, Cognition -- Physiological aspects, Developmental psychobiology",BF 242 .J64 1991
16852,Investment of a lifetime : a personal guide to investing in your life / K.C. Erickson.,"Success, Conduct of life",BF 637 .S8 E74x 1996
16853,Cognition and emotion : reviews of current research and theories / edited by Jan de Houwer and Dirk Hermans.,"Emotions and cognition, Cognition, Emotions",BF 311 .C54773 2010
16854,Asian Americans : achievement beyond IQ / James R. Flynn.,"Asian Americans -- Intelligence levels, Chinese Americans -- Intelligence levels, Japanese Americans -- Intelligence levels, Intelligence levels -- United States -- Cross-cultural studies",BF 432 .A84 F58 1991
16855,Wilhelm Reich : psychoanalyst and radical naturalist / Robert S. Corrington.,"Reich, Wilhelm, 1897-1957, Psychoanalysts -- United States -- Biography",BF 109 .R38 C67 2003
16856,"Diagnostic measurement : theory, methods, and applications / André A. Rupp, Jonathan Templin, Robert A. Henson.","Psychometrics, Cognition -- Testing",BF 39 .R785 2010
16857,La tragedia del pensamiento / por Juan B. Soto ...,Thought and thinking,BF 455 .S55 1937
16858,Servants of the Grail : the real-life characters of the Grail legend identified / Philip Coppens.,"Grail -- Legends -- History and criticism, Grail",BF 1442 .G73 C67x 2009
16859,"The Content, structure, and operation of thought systems / edited by Robert Wyer, Jr. [and] Thomas K. Srull.","Thought and thinking, Social perception",BF 441 .C7x 1991
16860,Humor in children's lives : a guidebook for practioners / edited by Amelia J. Klein.,"Humor in children, Wit and humor -- Psychological aspects",BF 723 .H85 H87 2003
16861,Factor analysis of the Rorschach : criterion analysis and differentiated scoring categories / by Jean H. Sayers.,Rorschach Test,None
16862,"The psychology of abilities, competencies, and expertise / edited by Robert J. Sternberg, Elena L. Grigorenko.","Ability, Performance -- Psychological aspects, Expertise",BF 431 .P375 2003
16863,The Psychology of word meanings / edited by Paula J. Schwanenflugel.,"Meaning (Psychology) -- Congresses, Word recognition -- Congresses, Concepts -- Congresses",BF 463 .M4 P79 1991
16864,Regression periods in human infancy / edited by Mikael Heimann.,"Regression (Psychology) in infants -- Cross-cultural studies, Mother and infant -- Cross-cultural studies, Attachment behavior in infants -- Cross-cultural studies",BF 720 .R43 R44 2003
16865,Perception of emotional expressions and hemispheric specialization in infancy / by Lynne Mitchell.,"Perception in children, Emotions in children, Cerebral dominance, Child development",None
16866,On resilience / Elisabeth Wynhausen.,"Resilience (Personality trait), Change (Psychology), Adjustment (Psychology), Spiritual healing",BF 698.35 .R47 W96 2008
16867,Jacques Lacan and the adventure of insight : psychoanalysis in contemporary culture / Shoshana Felman.,"Lacan, Jacques, 1901-1981, Freud, Sigmund, 1856-1939 -- Influence, Psychoanalysis, Psychoanalysis and literature",BF 173 .F36 1987
16868,Personal identity : complex or simple? / edited by Georg Gasser and Matthias Stefan.,Identity (Psychology),BF 697 .P468 2012
16869,Persuasion and compulsion in democracy / edited by Jacquelyn Ann K. Kegley and Krzysztof Piotr Skowroński.,"Persuasion (Psychology), Compulsive behavior, Democracy",BF 637 .P4 P423 2013
16870,Psychology and nihilism : a genealogical critique of the computational model of mind / Fred J. Evans.,"Cognitive psychology -- Philosophy, Nihilism (Philosophy) -- Psychological aspects, Psychology and philosophy",BF 311 .E926x 1993
16871,"The psychology of personhood : philosophical, historical, social-developmental and narrative perspectives / edited by Jack Martin and Mark H. Bickhard.","Self, Self -- Social aspects, Identity (Psychology), Personalism, Psychology -- Social aspects",BF 697 .P769 2013
16872,Relational depth : new perspectives and developments / edited by Rosanne Knox ... [et al.].,"Counseling, Counselor and client",BF 636.6 .R45x 2013
16873,None,None,None
16874,"A slap in the face : why insults hurt, and why they shouldn't / William B. Irvine.","Resilience (Personality trait), Invective",BF 698.35 .R47 I78 2013
16875,Space to reason : a spatial theory of human thought / Markus Knauff.,"Thought and thinking, Reasoning, Space",BF 441 .K535 2013
16876,Visual attention and consciousness / Jay Friedenberg.,"Consciousness, Attention, Vision",BF 311 .F74x 2013
16877,Planets and people.,Astrology -- Periodicals,None
16878,Creative intuition in art and poetry / Jacques Maritain.,"Creation (Literary, artistic, etc.)",BF 408 .M25 1955
16879,Building on Bion. Branches : contemporary developments and applications of Bion's contributions to theory and practice / edited by Robert M. Lipgar and Malcolm Pines.,"Bion, Wilfred R. (Wilfred Ruprecht), 1897-1979, Psychoanalysis",BF 173 .B8774x 2002
16880,Building on Bion-- roots : origins and context of Bion's contributions to theory and practice / edited by Robert M. Lipgar and Malcolm Pines.,"Psychoanalysis, Group psychoanalysis, Bion, Wilfred R. (Wilfred Ruprecht), 1897-1979",BF 173 .B8775x 2003
16881,Composing the soul : reaches of Nietzsche's psychology / Graham Parkes.,"Nietzsche, Friedrich Wilhelm, 1844-1900 -- Psychology, Psychology and philosophy -- Germany -- History -- 19th century, Psychology -- Philosophy -- History -- 19th century, Psychologists -- Germany",BF 109 .N54 P37 1994
16882,"Early fraction learning / Robert P. Hunting, Gary Davis, editors.","Number concept in children, Fractions -- Psychological aspects, Fractions -- Study and teaching (Preschool), Fractions -- Study and teaching (Elementary)",BF 456 .N7 E27 1991
16883,"Other minds : how humans bridge the divide between self and others / edited by Bertram F. Malle, Sara D. Hodges.","Social perception, Other minds (Theory of knowledge)",BF 323 .S63 O89 2005
16884,"Stress in health and disease / editors: Daniel L. Kirsch, Michel A. Woodbury-Fariña.","Stress (Psychology), Stress management",BF 575 .S75 S77333x 2014
16885,Psicología ambiental y calidad de vida / Marcel Zimmermann.,"Environmental psychology, Quality of life",BF 353 .Z53x 1995
16886,Validation study of the youth outcome questionnaire : primary care medicine (YOQ-PCM) screening instrument / by Jennifer L. Tzoumas.,"Youth Outcome Questionnaire, Medical screening",None
16887,"Human judgment and decision processes / edited by Martin F. Kaplan, Steven Schwartz.","Decision making -- Congresses, Judgment -- Congresses",BF441 .H815
16888,Motivation and Denken : Versuch eeiner integrativen Theorie auf der Grundlage des Konzeptbegriffs / Christof Ammermann.,"Motivation (Psychology), Thought and thinking",BF 683 .A525
16889,Freud / Jonathan Lear.,"Freud, Sigmund, 1856-1939, Psychoanalysis and philosophy",BF 109 .F74 L43 2005
16890,Comprehensive stress management / Jerrold Greenberg.,"Stress (Psychology), Stress (Physiology), Stress (Psychology) -- Prevention, Stress management",BF 575 .S75 G66 1983
16891,"Integrative assessment of adult personality / [edited by] Larry E. Beutler, Gary Groth-Marnat.","Personality assessment, Personality tests, Adulthood -- Psychological aspects",BF 698.4 .I58 2003
16892,Context and development / edited by Robert Cohen and Alexander W. Siegel.,"Context effects (Psychology) -- Congresses, Cognition -- Congresses, Social perception -- Congresses",BF 378 .C72 C66 1991
16893,"The development of intersensory perception : comparative perspectives / edited by David J. Lewkowicz, Robert Lickliter.","Perception in infants, Sensorimotor integration, Perceptual-motor processes, Intersensory effects, Psychology, Comparative",BF 720 .P47 D48 1994
16894,The neurotic primate : a matter of instinct / [by] Charles Harrison.,"Genetic psychology, Social evolution, Instinct, Families, Thought and thinking",BF 701 .H355
16895,La sibylle et le retour de l'창ge d'or.,"Sibyls, Oracula Sibyllina",BF 1752 .J41x
16896,An introduction to Jung's psychology / Frieda Fordham.,"Jung, C. G. (Carl Gustav), 1875-1961",BF 173 .J85 F6x 1966
16897,Self-presentation : impression management and interpersonal behavior / Mark R. Leary.,"Self-presentation, Interpersonal relations",BF 697.5 .S44 L43 1995
16898,Walking shadows : archetype and psyche in crisis and growth / Dr. Tim Read.,"Phenomenological psychology, Archetype (Psychology)",BF 204.5 .R43x 2014
16899,"Social motivation, justice, and the moral emotions : an attributional approach / Bernard Weiner.","Motivation (Psychology) -- Social aspects, Emotions, Social justice",BF 503 .W45 2006
16900,Povsednevnai͡a zhiznʹ dvori͡anstva pushkinskoĭ pory : primety i sueverii͡a / Elena Lavrentʹeva.,"Superstition -- Russia -- History -- 19th century, Omens -- Russia -- History -- 19th century, Nobility -- Russia -- Social life and customs -- 19th century",BF 1773.2 .R8 L38x 2006
16901,Essentials of person-environment-correspondence counseling / Lloyd H. Lofquist and René V. Dawis.,"Counseling, Environmental psychology",BF 637 .C6 L65 1991
16902,"Theories of personality / Calvin S. Hall, Gardner Lindzey.",Personality,BF 698 .H33 1957
16903,Character psychology and character education / edited by Daniel K. Lapsley and F. Clark Power.,"Moral development, Moral education",BF 723 .M54 C45 2005
16904,"Prediction (London, England : 1936)","Astrology -- Periodicals, Horoscopes -- Periodicals, Occultism -- Periodicals, Palmistry -- Periodicals",None
16905,Quarterly journal of experimental psychology (2006),"Psychology, Experimental -- Periodicals, Psychophysiology -- Periodicals, Psychology, Comparative -- Periodicals",None
16906,"The new handbook of counseling supervision / L. DiAnne Borders, Lori L. Brown.",Counselors -- Supervision of,BF 637 .C6 B597 2005
16907,Generating useful preinventive structures : a study in creativity and comprehensive categorization / by Douglas O. Harris.,"Categorization (Psychology), Creative thinking, Creative ability",None
16908,Psychoanalyse und Politik / Herbert Marcuse.,"Psychoanalysis, Political science",BF 175 .M282
16909,El ocaso de los espiritus : el espiritismo en Mexico en el siglo XIX / Jose Mariano Leyva.,Spiritualism -- Mexico -- History -- 19th century,BF 1242 .M6 M37x 2005
16910,Marx und Freud : ihr Verhaeltnis zur modernen Anthropologie / Dieter Wyss.,"Marx, Karl, 1818-1883, Freud, Sigmund, 1856-1939, Anthropology, Psychology",BF 57 .W9 1969
16911,An Odyssey in learning and perception / Eleanor J. Gibson.,"Perception -- History, Perceptual learning -- History, Learning, Psychology of -- History, Psychology -- History",BF 311 .G478 1991
16912,International handbook of psychology / edited by Kurt Pawlik and Mark R. Rosenzweig.,"Behavior -- Handbooks, manuals, etc, Mental Processes -- Handbooks, manuals, etc, Psychology -- Methods -- Handbooks, manuals, etc",BF 105 .I57 1987
16913,Wayfinding : an interdisciplinary journey into the domain of spatial representation in philosophy and psychology / Bert Karcher.,"Space perception, Mental representation, Philosophy of mind",None
16914,"The health effects of attitudes, emotions, relationships / by Brent Q. Hafen ... [et al.]","Attitude (Psychology) -- Health aspects, Emotions -- Health aspects, Interpersonal relations -- Health aspects",BF 327 .H425x 1992
16915,Recherches sur les superstitions en Chine.,"Gods -- China, Confucianism, Buddhism, Folklore -- China, Superstition, Magic, China -- Social life and customs, China -- Religion",BF 1434 .C6 D63 vol.1
16916,"The Embodied mind : cognitive science and human experience / Francisco J. Varela, Evan Thompson, Eleanor Rosch.","Cognition, Cognitive science, Experiential learning, Meditations -- Buddhism",BF 311 .V26 1991
16917,"Professional psychology, research and practice.","Clinical psychology -- Periodicals, Psychology, Applied -- Periodicals",None
16918,The element : how finding your passion changes everything / Ken Robinson with Lou Aronica.,"Self-actualization (Psychology), Self-realization, Creative ability in children",BF 637 .S4 R592x 2009
16919,Progress in behavior modification.,Behavior modification,None
16920,Understanding interpersonal communication / Richard L. Weaver II.,Interpersonal communication,BF 637 .C45 W35
16921,Beyond success : the 15 secrets to effective leadership and life based on legendary coach John Wooden's pyramid of success / Brian D. Biro ; foreword by John Wooden.,"Success -- Psychological aspects, Character, Leadership, Wooden, John, 1910-2010",BF 637 .S8 B49 2001
16922,Latent Toxoplasma gondii infection moderates the association between the C677T MTHFR polymorphism and cognitive function in U.S. adults / Andrew Nathan Berrett.,"Toxoplasma gondii, MTHFR, folate, cognitive function, reaction time",None
16923,The self-altering process : exploring the dynamic nature of lifestyle development and change / Glenn D. Walters.,"Change (Psychology), Lifestyles -- Psychological aspects",BF 637 .C4 W35 2000
16924,The interactive effects of deployment and other organizational dynamics on sexual harassment in the military / Clinton Dean Kelly.,"sexual harassment, military, deployment, masculinity",None
16925,Freud and the passions / edited by John O'Neill.,"Affect (Psychology), Freud, Sigmund, 1856-1939, Psychoanalysis and literature",BF 175.5 .A35 F74 1996
16926,Developing talent across the life span.,"Developmental psychology, Ability",BF 713 .D48x 2000
16927,The Psychoanalytic forum.,Psychoanalysis -- Periodicals,None
16928,The Psychoanalytic quarterly.,Psychoanalysis -- Periodicals,None
16929,Motor development : issues and applications / Marcella V. Ridenour ... [et al.] ; edited by Marcella V. Ridenour.,"Motor learning, Child psychology",BF 723 .M6 M65
16930,Psychological bulletin.,Psychology -- Periodicals,None
16931,Psychological monographs: general and applied.,None,BF 1 .P8
16932,The Psychological record.,Psychology -- Periodicals,None
16933,Psychological review.,Psychology -- Periodicals,None
16934,The Psychological service center journal.,Leiter International Performance Scale,None
16935,Psychologische Forschung.,Psychology -- Periodicals,None
16936,Psychology : life and the modern world.,"Psychology, Applied -- Periodicals",None
16937,"Psychology (Savannah, Ga.)","Psychology -- Periodicals, Psychology, Applied -- Periodicals",None
16938,Experiences in social dreaming / edited by W. Gordon Lawrence.,"Dreams, Dreams -- Social aspects, Dream interpretation",BF 1078 .E97x 2003
16939,Psychology of motor behavior and sport.,"Sports -- Psychological aspects -- Congresses, Motor learning -- Congresses, Motor ability -- Congresses",None
16940,Psychometrika.,Psychometrics -- Periodicals,None
16941,Psychonomic science.,Psychology -- Periodicals,None
16942,"Developmental science / edited by Robert B. Cairns, Glen H. Elder, Jr., and E. Jane Costello.",Developmental psychology,BF 713 .D468 1996
16943,Re-examining psychology : critical perspectives and African insights / T. Len Holdstock.,"Psychology -- Africa, Sub-Saharan",BF 108 .A3 H65 2000
16944,The Alexander technique as I see it / Patrick Macdonald.,"Alexander, F. Matthias (Frederick Matthias), 1869-1955, Alexander technique",BF 172 .M33x 1989
16945,Archimedes' bathtub : the art and logic of breakthrough thinking.,"Thought and thinking, Inspiration, Creative thinking",BF 441 .P475x 2000
16946,Self and other : object relations in psychoanalysis and literature / Robert Rogers.,"Object relations (Psychoanalysis), Object relations (Psychoanalysis) in literature",BF 175.5 .O24 R64 1991
16947,"Born to rebel : birth order, family dynamics, and creative lives / Frank J. Sulloway.","Birth order, Brothers and sisters, Individual differences, Personality development -- Social aspects",BF 723 .B5 S9 1996
16948,Foundations of cognitive science : the essential readings / [edited by] Jay L. Garfield.,Cognitive science,BF 311 .F665 1990
16949,Developmental psychology : studies in human development / edited by Hiram E. Fitzgerald and John Paul McKinney.,Developmental psychology,BF 701 .F57
16950,"Psychopathology : a source book / edited by Charles F. Reed, Irving E. Alexander, Silvan S. Tomkins ; with an introd. by Robert W. White.","Psychology, Pathological, Psychiatry",BF 173 .R367
16951,The legend of Freud / Samuel Weber.,"Psychoanalysis, Freud, Sigmund, 1856-1939",BF 173 .F85 W2813 2000
16952,"Magic, witchcraft and the otherworld : an anthropology / Susan Greenwood.","Magic -- Great Britain, Witchcraft -- Great Britain, Neopagans -- Great Britain",BF 1622 .G7 G74x 2000
16953,"Freud in Germany : revolution and reaction in science, 1893-1907 / by Hannah S. Decker.","Freud, Sigmund, 1856-1939, Psychoanalysis -- Germany -- History",BF 21 .P75x no.41
16954,Traum und Traumdeutung in der Antike / Laura Hermes.,"Dreams -- Greece, Dreams -- Rome, Dream interpretation -- Greece, Dream interpretation -- Rome, Dreams in literature",BF 1078 .H475x 1996
16955,Aphrodites Traum : Traumdeutung in der Antike / Laura Hermes.,"Dreams -- Rome -- History, Dream interpretation -- Rome -- History",BF 1078 .H47x 2000
16956,Everyday acts against racism : raising children in a multicultural world / edited by Maureen T. Reddy.,"Prejudices in children -- United States -- Prevention, Race awareness in children -- United States, Child rearing -- United States",BF 723 .P75 E94 1996
16957,"The Quarterly journal of experimental psychology. A, Human experimental psychology.","Psychology, Experimental -- Periodicals, Psychophysiology -- Periodicals, Psychology, Comparative -- Periodicals",None
16958,"The Quarterly journal of experimental psychology. B, Comparative and physiological psychology.","Psychology, Experimental -- Periodicals, Psychophysiology -- Periodicals, Psychology, Comparative -- Periodicals",None
16959,"Competency-based education and training in psychology : a primer / by Scott W. Sumerall, Shane J. Lopez, Mary E. Oehlert.","Psychology -- Study and teaching (Graduate), Psychology -- Study and teaching (Internship)",BF 77 .C59 2000
16960,The Freudian reading : analytical and fictional constructions / Lis Møller.,"Freud, Sigmund, 1856-1939, Psychological literature, Psychoanalysis and literature, Hermeneutics -- History -- 20th century",BF 109 .F74 M65 1991
16961,Dying / John Hinton.,"Death -- Psychological aspects, Physician and patient",BF789.D4 H53 1972
16962,"Racial old-age, being further adventures in Philosophy and containing an exoneration of woman ...","Biology, Evolution, Women",BF 1999 .A42
16963,Satanism : psychiatric and legal views / by George B. Palermo and Michele C. Del Re.,"Satanism -- Psychological aspects, Satanism -- Law and legislation",BF 1548 .P35 1999
16964,Introduction to behavioral science for business / Blair J. Kolasa.,"Psychology, Sociology",BF 121 .K58
16965,The mind in action : a personal view of cognitive science / Alan Garnham.,"Cognitive science, Cognition, Intellect, Artificial intelligence",BF 311 .G35 1991
16966,From mastery to analysis : theories of gender in psychoanalytic feminism / Patricia Elliot.,"Sex differences (Psychology), Psychoanalysis and feminism, Feminist psychology, Women -- Psychology",BF 692.2 .E39 1991
16967,Modernity and self-identity : self and society in the late modern age / Anthony Giddens.,"Self, Civilization, Modern, Social structure",BF 697 .G54x 1991
16968,"Freud, la philosophie et les philosophes / Paul-Laurent Assoun.","Freud, Sigmund, 1856-1939, Psychoanalysis, Philosophy",BF 173 .F85 A84
16969,"The ethics of psychoanalysis, 1959-1960 / translated with notes by Dennis Porter.","Psychoanalysis -- Moral and ethical aspects, Sublimation (Psychology), Pleasure, Tragic, The, Ethics -- Psychological aspects",BF 173 .L14613 1988 bk.7
16970,The personality of man : new facts and their significance / by G.N.M. Tyrrell.,"Parapsychology, Parapsychology -- Research, Personality, Self",BF 1031 .T84x 1954
